candidate_id;candidate_num_rows;candidate_cost;candidate_seq_len;time_discovered_minutes;num_of_traj_points;num_of_elements;run_simulation;dataset
1;22;-41;3;0.0015301833333069225;83;13;0;Top 10 users
2;15;-19;3;0.00228920499994274;58;13;0;Top 10 users
3;36;-30;2;0.00287475499996314;103;13;0;Top 10 users
4;4;-3;4;0.0037002266666604556;26;13;0;Top 10 users
5;8;-27;5;0.005398759999964872;51;13;0;Top 10 users
6;5;-9;4;0.006594214999980371;29;13;0;Top 10 users
7;3;-3;3;0.007454384999982721;14;13;0;Top 10 users
8;28;-14;3;0.008433699999962603;117;13;0;Top 10 users
9;15;-7;2;0.009193133333307438;49;13;0;Top 10 users
10;4;-2;2;0.009968048333333476;12;13;0;Top 10 users
11;19;-11;2;0.010829076666656572;52;13;0;Top 10 users
12;12;-1;2;0.011607754999992418;36;13;0;Top 10 users
13;9;-4;3;0.012529234999965411;38;13;0;Top 10 users
14;15;-21;3;0.013859958333281004;64;13;0;Top 10 users
15;5;-3;2;0.014851859999968535;15;13;0;Top 10 users
16;4;-2;2;0.01589327166663376;14;13;0;Top 10 users
17;34;-29;2;0.016942844999963805;80;13;0;Top 10 users
18;37;-27;2;0.018037741666618482;110;13;0;Top 10 users
19;20;-14;2;0.01915697333327747;50;13;0;Top 10 users
20;14;-10;3;0.02064415833331926;53;13;0;Top 10 users
21;22;-18;2;0.02171294833333377;70;13;0;Top 10 users
22;7;-7;3;0.022862893333331157;34;13;0;Top 10 users
23;8;-5;2;0.024005936666617343;18;13;0;Top 10 users
24;8;-5;2;0.02512489833328194;25;13;0;Top 10 users
25;2;-1;3;0.026368801666649233;11;13;0;Top 10 users
26;11;-12;3;0.027896928333332956;49;13;0;Top 10 users
27;7;-4;2;0.028997013333294793;23;13;0;Top 10 users
28;14;-9;2;0.030237131666641895;47;13;0;Top 10 users
29;42;-33;2;0.03147044499995293;104;13;0;Top 10 users
30;8;-3;2;0.032748696666628045;24;13;0;Top 10 users
31;4;-1;2;0.03387760999994498;10;13;0;Top 10 users
32;10;-5;2;0.035154913333281;31;13;0;Top 10 users
33;9;-1;2;0.036701578333304494;27;13;0;Top 10 users
34;13;-5;2;0.03851678166665806;43;13;0;Top 10 users
35;9;-14;3;0.041306734999974046;32;13;0;Top 10 users
36;17;-11;2;0.04345024999996288;52;13;0;Top 10 users
37;13;-1;2;0.04599425333332571;43;13;0;Top 10 users
38;8;-9;3;0.04861288833332462;30;13;0;Top 10 users
39;3;-1;2;0.05094964499997635;9;13;0;Top 10 users
40;4;-2;2;0.05377995499996662;11;13;0;Top 10 users
41;30;-21;2;0.05654813666666693;85;13;0;Top 10 users
42;13;-4;2;0.059149183333283874;42;13;0;Top 10 users
43;23;-15;2;0.06189975166665439;55;13;0;Top 10 users
44;13;-16;3;0.06506413333330177;59;13;0;Top 10 users
45;5;-3;2;0.0681969949999863;17;13;0;Top 10 users
46;5;-2;2;0.07099104499999763;12;13;0;Top 10 users
47;5;-1;2;0.07439244166665351;12;13;0;Top 10 users
48;27;-10;2;0.07765543666664598;58;13;0;Top 10 users
49;12;-4;2;0.08131698499995157;39;13;0;Top 10 users
50;6;-1;2;0.08496361999999257;21;13;0;Top 10 users
51;3;-1;2;0.08892354999995102;9;13;0;Top 10 users
52;5;-2;2;0.09254882666664344;15;13;0;Top 10 users
53;19;-6;2;0.0967286883333145;59;13;0;Top 10 users
54;11;-4;2;0.10088891333331655;30;13;0;Top 10 users
55;7;-1;2;0.1051928933333329;23;13;0;Top 10 users
56;6;-2;2;0.10973274499998903;19;13;0;Top 10 users
57;10;-3;2;0.1148996483333273;28;13;0;Top 10 users
58;3;-1;2;0.11999078333331757;12;13;0;Top 10 users
1;22;-41;3;0.0023147933333651357;83;28;0;Top 10 users
2;15;-19;3;0.004019423333375016;58;28;0;Top 10 users
3;36;-30;2;0.005126411666666778;103;28;0;Top 10 users
4;4;-3;4;0.006710253333343037;26;28;0;Top 10 users
5;8;-27;5;0.010251965000012813;51;28;0;Top 10 users
6;5;-9;4;0.012752903333360639;29;28;0;Top 10 users
7;3;-3;3;0.014397683333360571;14;28;0;Top 10 users
8;28;-14;3;0.01643674666671965;117;28;0;Top 10 users
9;15;-7;2;0.017546308333354924;49;28;0;Top 10 users
10;4;-2;2;0.018829805000010916;12;28;0;Top 10 users
11;19;-11;2;0.020170165000005607;52;28;0;Top 10 users
12;12;-1;2;0.021269866666686236;36;28;0;Top 10 users
13;10;-11;3;0.022645261666669587;44;28;0;Top 10 users
14;5;-1;2;0.024101865000011456;13;28;0;Top 10 users
15;12;-15;3;0.026250736666709903;57;28;0;Top 10 users
16;19;-20;3;0.028332941666667465;84;28;0;Top 10 users
17;17;-24;5;0.032000220000008996;99;28;0;Top 10 users
18;4;-1;3;0.033631785000034144;15;28;0;Top 10 users
19;17;-6;2;0.0353353700000298;53;28;0;Top 10 users
20;15;-21;3;0.0384737400000328;64;28;0;Top 10 users
