lvl1;lvl2;lvl3;lvl4;lvl5;count;cluster
U-445;1259;Home_(private);Metro_Station;;1;Cluster-1
U-440;1228;Home_(private);Metro_Station;;1;Cluster-1
U-6;0;Home_(private);Metro_Station;;1;Cluster-1
U-635;1796;Home_(private);Metro_Station;;1;Cluster-1
U-702;2041;Home_(private);Metro_Station;;1;Cluster-1
U-344;875;Home_(private);Metro_Station;;1;Cluster-1
U-445;1258;Home_(private);Metro_Station;;1;Cluster-1
U-84;252;Home_(private);Metro_Station;;1;Cluster-1
U-254;685;Home_(private);Metro_Station;;1;Cluster-1
U-84;258;Home_(private);Metro_Station;;1;Cluster-1
U-120;373;Home_(private);Metro_Station;;1;Cluster-1
U-951;2824;Home_(private);Metro_Station;;1;Cluster-1
U-943;2805;Home_(private);Metro_Station;;1;Cluster-1
U-344;865;Home_(private);Metro_Station;;1;Cluster-1
U-976;2863;Home_(private);Metro_Station;;1;Cluster-1
U-319;845;Home_(private);Metro_Station;;1;Cluster-1
U-474;1362;Home_(private);Metro_Station;;1;Cluster-1
U-144;419;Home_(private);Metro_Station;;1;Cluster-1
U-293;746;Home_(private);Metro_Station;;1;Cluster-1
U-440;1223;Home_(private);Metro_Station;;1;Cluster-1
U-754;2285;Home_(private);Metro_Station;;1;Cluster-1
U-702;2056;Home_(private);Metro_Station;;1;Cluster-1
U-951;2832;Home_(private);Metro_Station;;1;Cluster-1
U-754;2298;Home_(private);Metro_Station;;1;Cluster-1
U-138;407;Home_(private);Metro_Station;;1;Cluster-1
U-943;2794;Home_(private);Metro_Station;;1;Cluster-1
U-6;10;Home_(private);Metro_Station;;1;Cluster-1
U-254;684;Home_(private);Metro_Station;;1;Cluster-1
U-976;2865;Home_(private);Metro_Station;;1;Cluster-1
U-293;768;Home_(private);Metro_Station;;1;Cluster-1
U-354;920;Home_(private);Metro_Station;;1;Cluster-1
U-928;2752;Home_(private);Metro_Station;;1;Cluster-1
U-750;2248;Home_(private);Metro_Station;;1;Cluster-1
U-702;2044;Home_(private);Metro_Station;;1;Cluster-1
U-144;417;Home_(private);Metro_Station;;1;Cluster-1
U-138;413;Home_(private);Metro_Station;;1;Cluster-1
U-763;2311;Home_(private);Metro_Station;;1;Cluster-1
U-121;390;Home_(private);Metro_Station;;1;Cluster-1
U-885;2613;Home_(private);Metro_Station;;1;Cluster-1
U-293;765;Home_(private);Metro_Station;;1;Cluster-1
U-718;2101;Home_(private);Metro_Station;;1;Cluster-1
U-951;2830;Home_(private);Metro_Station;;1;Cluster-1
U-742;2187;Home_(private);Metro_Station;;1;Cluster-1
U-95;322;Home_(private);Metro_Station;;1;Cluster-1
U-484;1399;Home_(private);Metro_Station;;1;Cluster-1
U-293;748;Home_(private);Metro_Station;;1;Cluster-1
U-754;2295;Home_(private);Metro_Station;;1;Cluster-1
U-445;1261;Home_(private);Metro_Station;;1;Cluster-1
U-702;2053;Home_(private);Metro_Station;;1;Cluster-1
U-293;747;Home_(private);Metro_Station;;1;Cluster-1
U-120;372;Home_(private);Metro_Station;;1;Cluster-1
U-293;779;Home_(private);Metro_Station;;1;Cluster-1
U-750;2249;Home_(private);Metro_Station;;1;Cluster-1
U-750;2243;Home_(private);Metro_Station;;1;Cluster-1
U-928;2759;Home_(private);Metro_Station;;1;Cluster-1
U-293;740;Home_(private);Metro_Station;;1;Cluster-1
U-95;332;Home_(private);Metro_Station;;1;Cluster-1
U-445;1265;Home_(private);Metro_Station;;1;Cluster-1
U-722;2112;Home_(private);Metro_Station;;1;Cluster-1
U-928;2744;Home_(private);Metro_Station;;1;Cluster-1
U-885;2612;Home_(private);Metro_Station;;1;Cluster-1
U-293;750;Home_(private);Metro_Station;;1;Cluster-1
U-474;1357;Home_(private);Metro_Station;;1;Cluster-1
U-702;2037;Home_(private);Metro_Station;;1;Cluster-1
U-236;653;Home_(private);Metro_Station;;1;Cluster-1
U-344;867;Home_(private);Metro_Station;;1;Cluster-1
U-928;2745;Home_(private);Metro_Station;;1;Cluster-1
U-293;751;Home_(private);Metro_Station;;1;Cluster-1
U-293;739;Home_(private);Metro_Station;;1;Cluster-1
U-612;1730;Home_(private);Metro_Station;;1;Cluster-1
U-474;1361;Home_(private);Metro_Station;;1;Cluster-1
U-702;2055;Home_(private);Metro_Station;;1;Cluster-1
U-596;1720;Home_(private);Metro_Station;;1;Cluster-1
U-6;11;Home_(private);Metro_Station;;1;Cluster-1
U-84;255;Home_(private);Metro_Station;;1;Cluster-1
U-819;2425;Home_(private);Metro_Station;;1;Cluster-1
U-722;2111;Home_(private);Metro_Station;;1;Cluster-1
U-474;1354;Home_(private);Metro_Station;;1;Cluster-1
U-293;749;Home_(private);Metro_Station;;1;Cluster-1
U-144;424;Home_(private);Metro_Station;;1;Cluster-1
U-495;1432;Home_(private);Metro_Station;;1;Cluster-1
U-144;421;Home_(private);Metro_Station;;1;Cluster-1
U-254;678;Home_(private);Metro_Station;;1;Cluster-1
U-702;2042;Home_(private);Metro_Station;;1;Cluster-1
U-951;2837;Home_(private);Metro_Station;;1;Cluster-1
U-750;2252;Home_(private);Metro_Station;;1;Cluster-1
U-951;2835;Home_(private);Metro_Station;;1;Cluster-1
U-293;743;Home_(private);Metro_Station;;1;Cluster-1
U-319;837;Home_(private);Metro_Station;;1;Cluster-1
U-6;2;Home_(private);Metro_Station;;1;Cluster-1
U-819;2428;Home_(private);Metro_Station;;1;Cluster-1
U-495;1431;Home_(private);Metro_Station;;1;Cluster-1
U-293;745;Home_(private);Metro_Station;;1;Cluster-1
U-527;1516;Home_(private);Metro_Station;;1;Cluster-1
U-95;325;Home_(private);Metro_Station;;1;Cluster-1
U-763;2308;Home_(private);Metro_Station;;1;Cluster-1
U-474;1359;Home_(private);Metro_Station;;1;Cluster-1
U-754;2299;Home_(private);Metro_Station;;1;Cluster-1
U-754;2283;Home_(private);Metro_Station;;1;Cluster-1
U-742;2189;Home_(private);Metro_Station;;1;Cluster-1
U-702;2048;Home_(private);Metro_Station;;1;Cluster-1
U-742;2185;Home_(private);Metro_Station;;1;Cluster-1
U-254;679;Home_(private);Metro_Station;;1;Cluster-1
U-951;2833;Home_(private);Metro_Station;;1;Cluster-1
U-95;318;Home_(private);Metro_Station;;1;Cluster-1
U-144;418;Home_(private);Metro_Station;;1;Cluster-1
U-951;2831;Home_(private);Metro_Station;;1;Cluster-1
U-445;1264;Home_(private);Metro_Station;;1;Cluster-1
U-976;2869;Home_(private);Metro_Station;;1;Cluster-1
U-722;2110;Home_(private);Metro_Station;;1;Cluster-1
U-702;2039;Home_(private);Metro_Station;;1;Cluster-1
U-943;2809;Home_(private);Metro_Station;;1;Cluster-1
U-474;1355;Home_(private);Metro_Station;;1;Cluster-1
U-702;2040;Home_(private);Metro_Station;;1;Cluster-1
U-976;2868;Home_(private);Metro_Station;;1;Cluster-1
U-635;1797;Home_(private);Metro_Station;;1;Cluster-1
U-754;2297;Home_(private);Metro_Station;;1;Cluster-1
U-440;1229;Home_(private);Metro_Station;;1;Cluster-1
U-445;1257;Home_(private);Metro_Station;;1;Cluster-1
U-1047;3030;Home_(private);Metro_Station;;1;Cluster-1
U-928;2765;Home_(private);Metro_Station;;1;Cluster-1
U-702;2045;Home_(private);Metro_Station;;1;Cluster-1
U-293;754;Home_(private);Metro_Station;;1;Cluster-1
U-95;321;Home_(private);Metro_Station;;1;Cluster-1
U-951;2822;Home_(private);Metro_Station;;1;Cluster-1
U-293;777;Home_(private);Metro_Station;;1;Cluster-1
U-976;2876;Home_(private);Metro_Station;;1;Cluster-1
U-293;744;Home_(private);Metro_Station;;1;Cluster-1
U-1047;3032;Home_(private);Metro_Station;;1;Cluster-1
U-635;1792;Home_(private);Metro_Station;;1;Cluster-1
U-254;690;Home_(private);Metro_Station;;1;Cluster-1
U-293;774;Home_(private);Metro_Station;;1;Cluster-1
U-976;2878;Home_(private);Metro_Station;;1;Cluster-1
U-6;9;Home_(private);Metro_Station;;1;Cluster-1
U-445;1260;Home_(private);Metro_Station;;1;Cluster-1
U-293;758;Home_(private);Metro_Station;;1;Cluster-1
U-440;1224;Home_(private);Metro_Station;;1;Cluster-1
U-750;2236;Home_(private);Metro_Station;;1;Cluster-1
U-976;2875;Home_(private);Metro_Station;;1;Cluster-1
U-144;425;Home_(private);Metro_Station;;1;Cluster-1
U-65;133;Home_(private);Metro_Station;;1;Cluster-1
U-754;2293;Home_(private);Metro_Station;;1;Cluster-1
U-527;1515;Home_(private);Metro_Station;;1;Cluster-1
U-95;329;Home_(private);Metro_Station;;1;Cluster-1
U-951;2834;Home_(private);Metro_Station;;1;Cluster-1
U-754;2294;Home_(private);Metro_Station;;1;Cluster-1
U-120;377;Home_(private);Metro_Station;;1;Cluster-1
U-951;2826;Home_(private);Metro_Station;;1;Cluster-1
U-754;2287;Home_(private);Metro_Station;;1;Cluster-1
U-951;2821;Home_(private);Metro_Station;;1;Cluster-1
U-484;1389;Home_(private);Metro_Station;;1;Cluster-1
U-885;2592;Home_(private);Metro_Station;;1;Cluster-1
U-763;2312;Home_(private);Metro_Station;;1;Cluster-1
U-750;2240;Home_(private);Metro_Station;;1;Cluster-1
U-120;375;Home_(private);Metro_Station;;1;Cluster-1
U-6;7;Home_(private);Metro_Station;;1;Cluster-1
U-95;315;Home_(private);Metro_Station;;1;Cluster-1
U-440;1231;Home_(private);Metro_Station;;1;Cluster-1
U-495;1435;Home_(private);Metro_Station;;1;Cluster-1
U-928;2747;Home_(private);Metro_Station;;1;Cluster-1
U-440;1219;Home_(private);Metro_Station;;1;Cluster-1
U-928;2742;Home_(private);Metro_Station;;1;Cluster-1
U-951;2829;Home_(private);Metro_Station;;1;Cluster-1
U-928;2760;Home_(private);Metro_Station;;1;Cluster-1
U-319;841;Home_(private);Metro_Station;;1;Cluster-1
U-474;1360;Home_(private);Metro_Station;;1;Cluster-1
U-484;1390;Home_(private);Metro_Station;;1;Cluster-1
U-293;753;Home_(private);Metro_Station;;1;Cluster-1
U-484;1395;Home_(private);Metro_Station;;1;Cluster-1
U-344;870;Home_(private);Metro_Station;;1;Cluster-1
U-484;1380;Home_(private);Metro_Station;;1;Cluster-1
U-928;2764;Home_(private);Metro_Station;;1;Cluster-1
U-120;385;Home_(private);Metro_Station;;1;Cluster-1
U-928;2741;Home_(private);Metro_Station;;1;Cluster-1
U-138;403;Home_(private);Metro_Station;;1;Cluster-1
U-1047;3034;Home_(private);Metro_Station;;1;Cluster-1
U-885;2588;Home_(private);Metro_Station;;1;Cluster-1
U-293;742;Home_(private);Metro_Station;;1;Cluster-1
U-718;2095;Home_(private);Metro_Station;;1;Cluster-1
U-754;2296;Home_(private);Metro_Station;;1;Cluster-1
U-138;414;Home_(private);Metro_Station;;1;Cluster-1
U-928;2746;Home_(private);Metro_Station;;1;Cluster-1
U-440;1222;Home_(private);Metro_Station;;1;Cluster-1
U-484;1383;Home_(private);Metro_Station;;1;Cluster-1
U-440;1227;Home_(private);Metro_Station;;1;Cluster-1
U-138;409;Home_(private);Metro_Station;;1;Cluster-1
U-344;872;Home_(private);Metro_Station;;1;Cluster-1
U-976;2864;Home_(private);Metro_Station;;1;Cluster-1
U-885;2611;Home_(private);Metro_Station;;1;Cluster-1
U-484;1393;Home_(private);Metro_Station;;1;Cluster-1
U-951;2828;Home_(private);Metro_Station;;1;Cluster-1
U-138;412;Home_(private);Metro_Station;;1;Cluster-1
U-742;2183;Home_(private);Metro_Station;;1;Cluster-1
U-495;1430;Home_(private);Metro_Station;;1;Cluster-1
U-754;2290;Home_(private);Metro_Station;;1;Cluster-1
U-344;874;Home_(private);Metro_Station;;1;Cluster-1
U-474;1358;Home_(private);Metro_Station;;1;Cluster-1
U-144;420;Home_(private);Metro_Station;;1;Cluster-1
U-440;1221;Home_(private);Metro_Station;;1;Cluster-1
U-440;1220;Home_(private);Metro_Station;;1;Cluster-1
U-612;1732;Home_(private);Metro_Station;;1;Cluster-1
U-144;422;Home_(private);Metro_Station;;1;Cluster-1
U-928;2762;Home_(private);Metro_Station;;1;Cluster-1
U-521;1503;Home_(private);Metro_Station;;1;Cluster-1
U-69;144;Home_(private);Metro_Station;;1;Cluster-1
U-951;2825;Home_(private);Metro_Station;;1;Cluster-1
U-484;1388;Home_(private);Metro_Station;;1;Cluster-1
U-120;374;Home_(private);Metro_Station;;1;Cluster-1
U-293;759;Home_(private);Metro_Station;;1;Cluster-1
U-702;2036;Home_(private);Metro_Station;;1;Cluster-1
U-951;2823;Home_(private);Metro_Station;;1;Cluster-1
U-951;2836;Home_(private);Metro_Station;;1;Cluster-1
U-702;2035;Home_(private);Metro_Station;;1;Cluster-1
U-635;1795;Home_(private);Metro_Station;;1;Cluster-1
U-742;2182;Home_(private);Metro_Station;;1;Cluster-1
U-138;408;Home_(private);Metro_Station;;1;Cluster-1
U-95;320;Home_(private);Metro_Station;;1;Cluster-1
U-951;2827;Home_(private);Metro_Station;;1;Cluster-1
U-753;2273;Home_(private);Metro_Station;;1;Cluster-1
U-885;2584;Home_(private);Metro_Station;;1;Cluster-1
U-474;1364;Home_(private);Metro_Station;;1;Cluster-1
U-763;2301;Home_(private);Metro_Station;;1;Cluster-1
U-750;2238;Home_(private);Metro_Station;;1;Cluster-1
U-763;2304;Home_(private);Metro_Station;;1;Cluster-1
U-484;1398;Home_(private);Metro_Station;;1;Cluster-1
U-319;838;Home_(private);Metro_Station;;1;Cluster-1
U-293;770;Home_(private);Metro_Station;;1;Cluster-1
U-702;2038;Home_(private);Metro_Station;;1;Cluster-1
U-928;2751;Home_(private);Metro_Station;;1;Cluster-1
U-440;1226;Home_(private);Metro_Station;;1;Cluster-1
U-120;380;Home_(private);Metro_Station;;1;Cluster-1
U-484;1391;Home_(private);Metro_Station;;1;Cluster-1
U-702;2046;Home_(private);Metro_Station;;1;Cluster-1
U-293;741;Home_(private);Metro_Station;;1;Cluster-1
U-138;415;Home_(private);Metro_Station;;1;Cluster-1
U-928;2754;Home_(private);Metro_Station;;1;Cluster-1
U-95;328;Home_(private);Metro_Station;;1;Cluster-1
U-928;2758;Home_(private);Metro_Station;;1;Cluster-1
U-754;2288;Home_(private);Metro_Station;;1;Cluster-1
U-432;1181;Home_(private);Metro_Station;;1;Cluster-1
U-885;2590;Home_(private);Metro_Station;;1;Cluster-1
