1;3;-3;3;0.0;9;93;0;Top 10 TD
2;6;-14;4;0.0;24;93;0;Top 10 TD
3;4;-2;2;0.0;8;93;0;Top 10 TD
4;19;-14;2;0.0;41;93;0;Top 10 TD
5;11;-9;2;0.0;24;93;0;Top 10 TD
6;6;-6;3;0.0;18;93;0;Top 10 TD
7;11;-8;2;0.0;29;93;0;Top 10 TD
8;3;-1;2;0.0;7;93;0;Top 10 TD
9;7;-2;2;0.0;14;93;0;Top 10 TD
10;3;-1;2;0.0;11;93;0;Top 10 TD
11;5;-7;3;0.0;21;93;0;Top 10 TD
12;4;-5;3;0.0;16;93;0;Top 10 TD
13;6;-7;3;0.0;18;93;0;Top 10 TD
14;7;-11;3;0.01;36;93;0;Top 10 TD
15;9;-13;3;0.01;35;93;0;Top 10 TD
16;5;-14;5;0.01;25;93;0;Top 10 TD
17;12;-10;2;0.01;44;93;0;Top 10 TD
18;9;-15;3;0.01;39;93;0;Top 10 TD
19;3;-1;2;0.01;7;93;0;Top 10 TD
20;3;-3;3;0.01;16;93;0;Top 10 TD
21;4;-4;3;0.01;21;93;0;Top 10 TD
22;3;-1;2;0.01;6;93;0;Top 10 TD
23;4;-2;2;0.01;14;93;0;Top 10 TD
24;5;-3;2;0.01;17;93;0;Top 10 TD
25;4;-2;2;0.01;11;93;0;Top 10 TD
26;4;-5;3;0.01;16;93;0;Top 10 TD
27;6;-7;3;0.01;29;93;0;Top 10 TD
28;10;-14;3;0.01;33;93;0;Top 10 TD
29;3;-3;3;0.01;11;93;0;Top 10 TD
30;10;-8;2;0.01;31;93;0;Top 10 TD
31;8;-4;2;0.01;28;93;0;Top 10 TD
32;3;-7;6;0.01;21;93;0;Top 10 TD
33;8;-5;2;0.01;22;93;0;Top 10 TD
34;7;-5;3;0.01;33;93;0;Top 10 TD
35;6;-9;3;0.01;29;93;0;Top 10 TD
36;3;-3;3;0.01;17;93;0;Top 10 TD
37;4;-5;3;0.01;20;93;0;Top 10 TD
38;4;-5;3;0.02;16;93;0;Top 10 TD
39;4;-1;2;0.02;11;93;0;Top 10 TD
40;6;-2;2;0.02;17;93;0;Top 10 TD
41;3;-5;4;0.02;15;93;0;Top 10 TD
42;7;-1;2;0.02;23;93;0;Top 10 TD
43;3;-1;2;0.02;11;93;0;Top 10 TD
44;7;-13;4;0.02;40;93;0;Top 10 TD
45;8;-9;3;0.02;28;93;0;Top 10 TD
46;2;-2;4;0.02;11;93;0;Top 10 TD
47;3;-1;2;0.02;11;93;0;Top 10 TD
48;4;-2;3;0.02;21;93;0;Top 10 TD
49;7;-3;2;0.02;23;93;0;Top 10 TD
50;4;-2;2;0.02;18;93;0;Top 10 TD
51;2;-1;3;0.02;8;93;0;Top 10 TD
52;2;-1;3;0.02;10;93;0;Top 10 TD
53;2;-3;5;0.02;15;93;0;Top 10 TD
54;2;-1;3;0.03;10;93;0;Top 10 TD
55;3;-3;4;0.03;21;93;0;Top 10 TD
56;2;-1;3;0.03;11;93;0;Top 10 TD
57;4;-2;2;0.03;15;93;0;Top 10 TD
58;2;-2;4;0.03;8;93;0;Top 10 TD
59;4;-1;2;0.03;11;93;0;Top 10 TD
60;3;-3;3;0.03;9;93;0;Top 10 TD
61;2;-2;4;0.03;14;93;0;Top 10 TD
62;4;-6;5;0.03;29;93;0;Top 10 TD
63;4;-2;2;0.03;16;93;0;Top 10 TD
64;9;-2;2;0.04;36;93;0;Top 10 TD
65;4;-1;2;0.04;15;93;0;Top 10 TD
